Tempo,G frontal,G vertical,G lateral,ID antena,RSSI,Fase,Frequencia,Atividade,Sexo,Quarto,Pessoa
10.25,1.2101,-0.12861,0.0091224,3,-63.5,2.8532,922.25,3,M,d2,p22
10.75,1.2101,-0.12861,0.0091224,3,-63.5,2.1982,923.25,3,M,d2,p22
11.25,1.2101,-0.12861,0.0091224,2,-58.5,0.66421,924.75,3,M,d2,p22
11.5,1.2101,-0.12861,0.0091224,3,-65.0,0.29299,921.75,3,M,d2,p22
12.75,1.1514,-0.071196,0.0091224,3,-63.5,2.008,923.75,3,M,d2,p22
13.25,1.1514,-0.071196,0.0091224,3,-63.5,2.3853,923.25,3,M,d2,p22
13.5,1.1514,-0.071196,0.0091224,3,-63.5,5.9181,922.75,3,M,d2,p22
14.25,1.0107,-0.025263,-0.070699,2,-58.5,6.2418,925.75,3,M,d2,p22
15.0,1.0225,-0.01378,-0.082102,3,-63.5,2.011,923.75,3,M,d2,p22
15.75,1.1514,-0.059712,-0.0022806,3,-63.5,5.8,922.75,3,M,d2,p22
18.5,1.0811,-0.036746,-0.03649,3,-63.5,1.3698,924.75,3,M,d2,p22
18.75,1.0811,-0.036746,-0.03649,3,-63.0,1.7365,924.25,3,M,d2,p22
19.25,1.0811,-0.036746,-0.03649,3,-65.0,0.83909,920.75,3,M,d2,p22
19.5,1.0811,-0.036746,-0.03649,3,-64.5,0.48934,921.25,3,M,d2,p22
20.25,1.1749,-0.082679,0.0091224,3,-64.0,6.0945,922.25,3,M,d2,p22
20.75,1.1749,-0.082679,0.0091224,3,-64.0,2.643,922.75,3,M,d2,p22
21.0,1.1749,-0.082679,0.0091224,3,-64.5,0.28685,921.75,3,M,d2,p22
22.5,1.128,-0.059712,-0.013684,3,-64.0,6.0884,922.25,3,M,d2,p22
23.0,1.128,-0.059712,-0.013684,2,-58.5,0.10738,925.25,3,M,d2,p22
23.75,1.1397,-0.071196,-0.0022806,3,-64.5,0.28072,921.75,3,M,d2,p22
24.0,1.1397,-0.071196,-0.0022806,2,-58.5,6.1973,925.75,3,M,d2,p22
25.0,1.2101,-0.10565,0.0091224,3,-64.5,6.0914,922.25,3,M,d2,p22
26.5,1.1866,-0.094162,0.020525,3,-64.5,0.66728,925.75,3,M,d2,p22
26.75,1.1866,-0.094162,0.020525,3,-64.5,0.52769,921.25,3,M,d2,p22
27.5,1.0694,-0.036746,-0.03649,3,-64.5,6.0792,922.25,3,M,d2,p22
29.5,1.0459,-0.0022966,-0.047893,3,-65.0,1.0692,920.25,3,M,d2,p22
30.0,1.0459,-0.0022966,-0.047893,3,-64.0,6.0592,922.25,3,M,d2,p22
32.0,1.0342,-0.01378,-0.059296,3,-65.5,1.0462,920.25,3,M,d2,p22
32.25,1.0342,-0.01378,-0.059296,3,-64.5,2.9084,922.25,3,M,d2,p22
32.75,1.0342,-0.01378,-0.059296,3,-63.5,2.258,923.25,3,M,d2,p22
33.5,1.257,-0.10565,0.054735,3,-63.5,1.6981,924.25,3,M,d2,p22
34.75,1.1866,-0.071196,0.0091224,3,-64.5,6.0408,922.25,3,M,d2,p22
35.75,1.1514,-0.059712,0.0091224,3,-64.5,0.13806,921.75,3,M,d2,p22
36.25,1.1514,-0.059712,0.0091224,3,-64.5,0.62126,925.75,3,M,d2,p22
37.25,1.1163,-0.036746,-0.013684,2,-59.0,0.033748,925.25,3,M,d2,p22
37.75,1.1163,-0.036746,-0.013684,3,-63.5,5.7294,922.75,3,M,d2,p22
38.75,1.3625,-0.15158,0.077541,2,-58.5,6.1237,925.75,3,M,d2,p22
38.825,1.3625,-0.15158,0.077541,3,-65.0,0.74858,920.75,3,M,d2,p22
40.5,1.2921,-0.12861,0.054735,3,-63.5,1.3146,924.75,3,M,d2,p22
40.75,1.2921,-0.12861,0.054735,3,-63.5,1.6582,924.25,3,M,d2,p22
41.25,1.2921,-0.12861,0.054735,3,-65.0,0.71023,920.75,3,M,d2,p22
42.5,1.2452,-0.10565,0.043332,3,-63.5,2.2611,923.25,3,M,d2,p22
42.75,1.2452,-0.10565,0.043332,3,-63.5,1.2793,924.75,3,M,d2,p22
43.25,1.2452,-0.10565,0.043332,3,-65.0,0.18101,921.75,3,M,d2,p22
44.0,1.0107,-0.0022966,-0.059296,3,-65.5,0.55837,921.25,3,M,d2,p22
44.75,1.1632,-0.10565,0.020525,3,-63.5,5.5239,923.25,3,M,d2,p22
45.75,1.257,-0.12861,0.054735,3,-64.0,1.6598,924.25,3,M,d2,p22
47.25,1.1163,-0.059712,-0.03649,3,-64.0,0.99402,925.25,3,M,d2,p22
48.0,1.2452,-0.12861,0.031928,3,-64.5,0.19635,921.75,3,M,d2,p22
48.25,1.2452,-0.12861,0.031928,2,-59.0,6.1313,925.75,3,M,d2,p22
50.0,1.339,-0.15158,0.077541,3,-64.0,5.8061,922.75,3,M,d2,p22
50.25,1.339,-0.15158,0.077541,3,-65.0,0.158,921.75,3,M,d2,p22
50.75,1.339,-0.15158,0.077541,2,-58.5,6.1221,925.75,3,M,d2,p22
52.0,1.0928,-0.025263,-0.025087,3,-64.0,0.96641,925.25,3,M,d2,p22
52.5,1.1397,-0.071196,-0.013684,3,-63.5,1.3254,924.75,3,M,d2,p22
53.25,1.1397,-0.071196,-0.013684,2,-58.5,6.1129,925.75,3,M,d2,p22
54.75,1.1632,-0.082679,0.0091224,3,-64.0,5.8015,922.75,3,M,d2,p22
55.25,1.1632,-0.082679,0.0091224,3,-65.0,0.14573,921.75,3,M,d2,p22
56.0,1.1397,-0.048229,-0.013684,3,-65.0,0.41264,921.25,3,M,d2,p22
56.5,1.1397,-0.048229,-0.013684,3,-63.5,1.9359,923.75,3,M,d2,p22
57.0,1.1397,-0.059712,-0.013684,3,-63.5,5.4809,923.25,3,M,d2,p22
57.5,1.1397,-0.059712,-0.013684,3,-63.5,1.3499,924.75,3,M,d2,p22
58.775,1.1045,-0.036746,-0.047893,3,-65.5,4.2077,920.25,3,M,d2,p22
60.0,1.0694,-0.025263,-0.03649,3,-63.5,1.307,924.75,3,M,d2,p22
61.25,1.0459,0.0091865,-0.070699,3,-65.0,1.0446,920.25,3,M,d2,p22
62.0,1.0459,-0.025263,-0.047893,3,-63.5,2.3286,923.25,3,M,d2,p22
62.25,1.0459,-0.025263,-0.047893,3,-63.5,4.4577,924.75,3,M,d2,p22
62.75,1.0459,-0.025263,-0.047893,3,-63.5,4.7569,924.25,3,M,d2,p22
64.0,1.0107,-0.0022966,-0.059296,3,-64.0,6.1052,922.25,3,M,d2,p22
64.5,1.0107,-0.0022966,-0.059296,3,-63.5,2.3286,923.25,3,M,d2,p22
65.0,1.1514,-0.082679,-0.0022806,3,-65.0,0.13346,921.75,3,M,d2,p22
65.5,1.1514,-0.082679,-0.0022806,2,-59.0,6.0792,925.75,3,M,d2,p22
66.5,1.0811,-0.01378,-0.025087,3,-64.0,6.1068,922.25,3,M,d2,p22
66.75,1.0811,-0.01378,-0.025087,3,-63.5,2.3224,923.25,3,M,d2,p22
67.0,1.0811,-0.01378,-0.025087,3,-64.0,2.6584,922.75,3,M,d2,p22
68.0,1.1163,-0.048229,-0.013684,3,-65.0,0.54763,925.75,3,M,d2,p22
68.5,0.97555,0.02067,-0.082102,3,-65.5,1.017,920.25,3,M,d2,p22
69.5,1.0928,-0.059712,-0.025087,3,-64.0,5.7877,922.75,3,M,d2,p22
70.0,1.0928,-0.059712,-0.025087,3,-64.0,4.7538,924.25,3,M,d2,p22
70.75,1.3508,-0.15158,0.077541,3,-65.0,0.40497,921.25,3,M,d2,p22
71.0,1.3508,-0.15158,0.077541,3,-63.5,1.9635,923.75,3,M,d2,p22
71.5,1.3508,-0.15158,0.077541,3,-64.0,4.1801,925.25,3,M,d2,p22
71.75,1.3508,-0.15158,0.077541,3,-62.5,5.4456,922.75,3,M,d2,p22
72.5,1.2101,-0.025263,-0.093505,3,-66.5,1.4358,924.25,3,M,d2,p22
73.0,1.2101,-0.025263,-0.093505,3,-67.5,0.061359,920.75,3,M,d2,p22
73.25,1.3039,0.055119,-0.013684,3,-66.5,0.52922,920.25,3,M,d2,p22
74.5,1.0694,0.1355,-0.10491,3,-66.0,1.2103,924.75,3,M,d2,p22
74.75,1.0694,0.1355,-0.10491,3,-66.0,1.5064,924.25,3,M,d2,p22
75.5,1.1514,0.089569,-0.059296,2,-53.5,2.0095,921.25,3,M,d2,p22
76.0,0.91693,0.15847,-0.17333,3,-65.5,1.8024,923.75,3,M,d2,p22
76.75,1.2921,0.0091865,-0.025087,3,-65.5,5.4963,922.75,3,M,d2,p22
77.0,1.2921,0.0091865,-0.025087,3,-65.0,1.3238,924.75,3,M,d2,p22
79.0,1.1163,-0.036746,-0.03649,3,-64.0,5.645,923.25,3,M,d2,p22
79.75,1.2101,-0.10565,-0.0022806,3,-63.5,1.781,924.25,3,M,d2,p22
80.5,1.2101,-0.10565,-0.0022806,3,-66.0,0.65194,921.25,3,M,d2,p22
81.0,1.1163,-0.059712,-0.059296,3,-65.0,0.044485,922.25,3,M,d2,p22
81.5,1.1163,-0.059712,-0.059296,3,-64.0,5.6174,923.25,3,M,d2,p22
82.25,1.1163,-0.059712,-0.03649,3,-63.5,1.7349,924.25,3,M,d2,p22
82.75,1.1163,-0.059712,-0.03649,3,-66.0,0.91885,920.75,3,M,d2,p22
83.25,1.1749,-0.071196,-0.013684,3,-63.5,5.2155,923.75,3,M,d2,p22
83.75,1.1749,-0.071196,-0.013684,3,-64.0,1.106,925.25,3,M,d2,p22
85.25,0.96383,-0.0022966,-0.16192,3,-65.0,3.8089,921.25,3,M,d2,p22
85.75,0.96383,-0.0022966,-0.16192,3,-63.5,2.1414,923.75,3,M,d2,p22
87.25,1.1163,-0.094162,-0.047893,3,-63.0,2.0126,924.25,3,M,d2,p22
87.5,1.1163,-0.094162,-0.047893,3,-65.5,1.2901,920.75,3,M,d2,p22
87.75,1.1163,-0.094162,-0.047893,3,-66.0,1.6045,920.25,3,M,d2,p22
88.25,1.1163,-0.094162,-0.047893,3,-63.0,5.507,923.75,3,M,d2,p22
88.75,1.1163,-0.094162,-0.025087,3,-63.5,2.62,923.25,3,M,d2,p22
89.0,1.1163,-0.094162,-0.025087,3,-64.0,6.0914,922.75,3,M,d2,p22
89.25,1.1163,-0.094162,-0.025087,3,-65.0,0.50161,921.75,3,M,d2,p22
89.5,1.1163,-0.094162,-0.025087,3,-63.5,1.8807,924.25,3,M,d2,p22
90.5,0.97555,0.0091865,-0.093505,3,-63.5,5.3091,923.75,3,M,d2,p22
91.25,1.1163,-0.048229,-0.025087,3,-64.0,5.6435,923.25,3,M,d2,p22
91.5,1.1163,-0.048229,-0.025087,3,-64.0,1.511,924.75,3,M,d2,p22
92.25,1.1397,-0.094162,-0.013684,3,-66.0,1.0247,920.75,3,M,d2,p22
92.5,1.1397,-0.094162,-0.013684,3,-66.0,0.64734,921.25,3,M,d2,p22
93.0,1.1397,-0.094162,-0.013684,3,-64.0,5.2309,923.75,3,M,d2,p22
93.75,1.2921,-0.14009,0.043332,3,-64.5,2.752,922.75,3,M,d2,p22
94.5,1.0811,-0.048229,-0.03649,2,-58.5,6.231,925.75,3,M,d2,p22
94.75,1.0811,-0.048229,-0.03649,3,-66.0,0.84369,920.75,3,M,d2,p22
96.0,1.1514,-0.071196,-0.013684,3,-64.0,2.3654,923.25,3,M,d2,p22
96.5,1.1514,-0.071196,-0.013684,3,-64.0,1.4159,924.75,3,M,d2,p22
97.25,1.128,-0.071196,-0.025087,3,-66.0,0.81915,920.75,3,M,d2,p22
97.5,1.128,-0.071196,-0.025087,3,-65.5,1.0983,920.25,3,M,d2,p22
98.25,1.1514,-0.059712,-0.025087,3,-64.5,1.0262,925.25,3,M,d2,p22
99.0,1.0576,-0.01378,-0.070699,3,-65.0,0.2255,921.75,3,M,d2,p22
99.25,1.0576,-0.01378,-0.070699,3,-64.0,1.6874,924.25,3,M,d2,p22
100.25,1.1045,-0.025263,-0.03649,3,-65.5,1.0753,920.25,3,M,d2,p22
101.5,1.3625,-0.16306,0.043332,3,-64.5,0.27612,921.75,3,M,d2,p22
102.5,1.0342,-0.0022966,-0.12771,3,-65.0,4.2016,920.25,3,M,d2,p22
103.0,1.0459,-0.0022966,-0.12771,3,-63.5,0.99709,925.25,3,M,d2,p22
103.5,1.1983,-0.059712,-0.059296,3,-64.0,2.5495,922.75,3,M,d2,p22
104.5,1.0342,0.02067,-0.15052,3,-65.0,3.7813,920.75,3,M,d2,p22
105.0,0.99901,0.032153,-0.16192,3,-63.0,1.9896,923.75,3,M,d2,p22
106.25,1.0342,0.032153,-0.15052,3,-65.0,0.018408,921.75,3,M,d2,p22
107.0,1.339,-0.12861,-0.013684,3,-65.0,0.7087,920.75,3,M,d2,p22
107.5,0.94038,0.032153,-0.17333,3,-65.0,4.1924,920.25,3,M,d2,p22
107.75,0.94038,0.032153,-0.17333,3,-64.0,6.1144,922.25,3,M,d2,p22
108.5,1.0811,-0.0022966,-0.11631,3,-63.5,2.5909,922.75,3,M,d2,p22
109.25,0.98728,0.043636,-0.17333,3,-64.0,0.57064,925.75,3,M,d2,p22
109.5,0.98728,0.043636,-0.17333,3,-65.0,0.7179,920.75,3,M,d2,p22
110.0,1.128,-0.025263,-0.070699,3,-63.0,1.9804,923.75,3,M,d2,p22
110.25,1.128,-0.025263,-0.070699,3,-64.5,6.1375,922.25,3,M,d2,p22
110.75,1.128,-0.025263,-0.070699,3,-63.5,5.415,923.25,3,M,d2,p22
111.75,1.0576,0.02067,-0.13912,3,-64.5,0.58905,925.75,3,M,d2,p22
112.0,1.0576,0.02067,-0.13912,2,-54.0,5.5346,921.25,3,M,d2,p22
112.08,1.0576,0.02067,-0.13912,3,-65.0,3.6018,921.25,3,M,d2,p22
112.5,1.0342,0.032153,-0.11631,3,-64.5,2.9897,922.25,3,M,d2,p22
113.25,1.3625,-0.12861,-0.0022806,2,-56.5,0.41571,924.75,3,M,d2,p22
114.25,1.1045,-0.01378,-0.10491,3,-65.0,0.66728,920.75,3,M,d2,p22
115.75,1.1514,-0.059712,-0.082102,3,-63.5,1.307,924.75,3,M,d2,p22
117.25,1.128,-0.01378,-0.10491,3,-63.0,5.0867,923.75,3,M,d2,p22
118.5,1.1163,-0.048229,-0.082102,3,-63.5,1.3254,924.75,3,M,d2,p22
119.25,1.1045,-0.0022966,-0.093505,3,-65.0,0.7225,920.75,3,M,d2,p22
119.5,1.1045,-0.0022966,-0.093505,3,-65.0,0.38196,921.25,3,M,d2,p22
120.25,1.0928,-0.01378,-0.10491,3,-63.5,5.4579,923.25,3,M,d2,p22
122.0,1.1514,-0.048229,-0.070699,3,-65.0,0.40804,921.25,3,M,d2,p22
122.25,1.1514,-0.048229,-0.070699,3,-63.5,1.9313,923.75,3,M,d2,p22
122.75,1.3508,-0.12861,0.0091224,3,-63.5,0.96641,925.25,3,M,d2,p22
123.75,1.1045,-0.025263,-0.093505,3,-63.0,1.6782,924.25,3,M,d2,p22
125.5,1.339,-0.11713,-0.0022806,3,-63.0,1.2579,924.75,3,M,d2,p22
125.75,1.339,-0.11713,-0.0022806,3,-64.0,0.092039,921.75,3,M,d2,p22
126.25,1.339,-0.11713,-0.0022806,3,-63.0,1.5769,924.25,3,M,d2,p22
126.5,1.339,-0.11713,-0.0022806,3,-64.0,3.8043,920.75,3,M,d2,p22
127.0,0.98728,0.032153,-0.15052,2,-53.5,6.1267,920.25,3,M,d2,p22
127.1,0.98728,0.032153,-0.15052,3,-63.0,1.8577,923.75,3,M,d2,p22
127.5,1.257,-0.082679,-0.03649,3,-62.5,2.1813,923.25,3,M,d2,p22
128.75,1.0107,0.02067,-0.13912,3,-63.5,0.58751,925.75,3,M,d2,p22
129.0,1.0107,0.02067,-0.13912,3,-64.5,0.76085,920.75,3,M,d2,p22
129.25,0.98728,0.043636,-0.12771,3,-64.5,1.0538,920.25,3,M,d2,p22
130.25,1.339,-0.12861,0.0091224,3,-63.0,2.2457,923.25,3,M,d2,p22
130.78,1.0576,0.0091865,-0.12771,3,-63.5,0.046019,921.75,3,M,d2,p22
131.5,1.0928,-0.0022966,-0.093505,3,-64.5,0.37429,921.25,3,M,d2,p22
132.25,1.0811,-0.0022966,-0.10491,3,-63.0,0.92039,925.25,3,M,d2,p22
132.5,1.0811,-0.0022966,-0.10491,3,-63.0,2.2335,923.25,3,M,d2,p22
133.5,1.1983,-0.059712,-0.047893,3,-62.5,1.5585,924.25,3,M,d2,p22
134.0,1.0342,0.032153,-0.12771,3,-64.0,0.36969,921.25,3,M,d2,p22
134.25,1.0342,0.032153,-0.12771,3,-64.5,1.0293,920.25,3,M,d2,p22
135.0,1.3039,-0.11713,-0.013684,3,-62.5,5.4303,923.25,3,M,d2,p22
135.25,1.0107,0.043636,-0.12771,3,-63.0,1.2441,924.75,3,M,d2,p22
135.75,1.0107,0.043636,-0.12771,3,-63.5,0.064427,921.75,3,M,d2,p22
136.0,1.0107,0.043636,-0.12771,3,-63.5,0.52309,925.75,3,M,d2,p22
136.5,1.128,-0.025263,-0.093505,3,-64.0,0.33748,921.25,3,M,d2,p22
136.75,1.128,-0.025263,-0.093505,3,-64.0,4.1341,920.25,3,M,d2,p22
137.25,1.339,-0.12861,0.0091224,3,-63.5,2.2028,923.25,3,M,d2,p22
138.25,1.1983,0.0091865,-0.11631,3,-61.0,5.2155,924.25,3,M,d2,p22
138.75,1.0107,0.21588,-0.38998,3,-56.5,5.4917,920.75,3,M,d2,p22
140.5,0.65897,0.57186,-0.59524,1,-70.0,2.1138,921.75,1,M,d2,p22
141.25,0.65897,0.57186,-0.59524,3,-62.0,0.39423,921.25,1,M,d2,p22
141.5,0.65897,0.57186,-0.59524,3,-60.5,1.0017,920.25,1,M,d2,p22
142.5,0.41273,0.95081,0.020525,3,-62.0,5.9472,922.75,1,M,d2,p22
143.5,0.41273,0.95081,0.020525,3,-61.5,4.9041,920.75,1,M,d2,p22
149.25,0.13132,0.96229,0.27139,1,-59.5,1.4266,925.25,4,M,d2,p22
156.0,-0.13836,1.0427,0.23718,1,-60.0,2.1246,921.25,2,M,d2,p22
158.5,-0.13836,1.0427,0.23718,1,-59.0,5.7248,920.25,2,M,d2,p22
161.5,0.70587,0.81301,0.054735,1,-59.0,1.3054,922.25,2,M,d2,p22
164.5,0.70587,0.81301,0.054735,1,-59.5,0.98328,922.75,2,M,d2,p22
165.75,0.70587,0.81301,0.054735,1,-58.5,5.0759,921.25,2,M,d2,p22
167.25,0.70587,0.81301,0.054735,1,-59.0,4.7569,921.75,2,M,d2,p22
174.25,0.91693,0.74411,0.13456,1,-60.0,0.82988,922.75,2,M,d2,p22
176.75,0.91693,0.74411,0.13456,1,-60.0,0.77159,922.75,2,M,d2,p22
178.0,0.91693,0.74411,0.13456,1,-59.0,5.5868,920.25,2,M,d2,p22
182.75,0.89348,0.75559,0.11175,1,-59.0,4.9517,921.25,2,M,d2,p22
184.25,0.89348,0.75559,0.11175,1,-59.5,1.4864,921.75,2,M,d2,p22
187.5,0.89348,0.75559,0.11175,1,-59.5,1.7411,921.25,2,M,d2,p22
189.75,0.89348,0.75559,0.11175,1,-59.0,5.2861,920.75,2,M,d2,p22
192.75,0.8114,0.76708,0.088944,1,-60.5,0.15493,923.75,2,M,d2,p22
194.75,0.8114,0.76708,0.088944,1,-59.0,5.0177,921.25,2,M,d2,p22
196.25,0.8114,0.76708,0.088944,1,-62.5,5.777,924.75,2,M,d2,p22
270.75,0.8583,0.76708,0.13456,1,-63.5,0.31447,923.75,2,M,d2,p22
292.5,0.41273,1.0427,0.16876,2,-58.5,0.90505,920.25,4,M,d2,p22
296.75,0.41273,1.0427,0.16876,2,-66.0,1.6245,925.75,1,M,d2,p22
297.0,0.41273,1.0427,0.16876,1,-64.5,5.6404,920.75,1,M,d2,p22
297.25,0.57689,0.82449,-0.31016,3,-60.0,0.029146,920.25,1,M,d2,p22
298.25,0.75277,0.30775,-0.66366,2,-53.0,6.0454,923.25,3,M,d2,p22
298.5,0.84658,0.28478,-0.70927,3,-59.0,0.53383,924.75,3,M,d2,p22
299.25,1.1514,0.26182,-0.29876,3,-62.0,1.4281,920.75,3,M,d2,p22
299.5,1.1514,0.26182,-0.29876,3,-61.5,0.98175,921.25,3,M,d2,p22
299.75,1.1514,0.26182,-0.29876,3,-60.5,0.24697,920.25,3,M,d2,p22
300.0,1.1514,0.26182,-0.29876,3,-62.5,0.25464,922.25,3,M,d2,p22
300.5,1.1514,0.26182,-0.29876,3,-62.0,1.9972,923.25,3,M,d2,p22
300.75,1.1514,0.26182,-0.29876,3,-61.0,2.0203,922.75,3,M,d2,p22
301.75,0.99901,-0.10565,-0.24174,3,-63.0,6.1773,925.75,3,M,d2,p22
302.0,0.99901,-0.10565,-0.24174,3,-60.5,5.6404,921.25,3,M,d2,p22
302.75,1.339,-0.17454,-0.070699,2,-59.0,6.0715,925.25,3,M,d2,p22
303.5,1.0928,-0.036746,-0.15052,3,-63.0,0.76085,924.75,3,M,d2,p22
303.75,1.0928,-0.036746,-0.15052,3,-61.0,5.6665,921.75,3,M,d2,p22
304.25,1.0928,-0.036746,-0.15052,3,-61.5,6.231,921.25,3,M,d2,p22
304.75,1.0928,-0.036746,-0.15052,2,-60.0,0.72097,923.75,3,M,d2,p22
306.25,1.4211,-0.26641,0.10035,2,-58.0,0.22703,924.25,3,M,d2,p22
306.32,1.4211,-0.26641,0.10035,3,-61.0,0.50928,925.75,3,M,d2,p22
306.75,1.4211,-0.26641,0.10035,3,-60.5,0.74858,920.75,3,M,d2,p22
307.0,1.4211,-0.26641,0.10035,3,-60.5,0.23317,921.25,3,M,d2,p22
307.25,1.4211,-0.26641,0.10035,3,-60.5,1.6506,923.75,3,M,d2,p22
307.75,1.1514,-0.18603,-0.013684,3,-60.0,2.0295,923.25,3,M,d2,p22
308.0,1.1514,-0.18603,-0.013684,3,-60.0,5.484,922.75,3,M,d2,p22
308.5,1.1514,-0.18603,-0.013684,2,-58.0,1.8055,921.75,3,M,d2,p22
309.0,1.1514,-0.18603,-0.013684,3,-61.0,0.3835,925.75,3,M,d2,p22
309.5,1.1397,-0.17454,-0.047893,3,-61.0,4.1203,920.25,3,M,d2,p22
309.75,1.1397,-0.17454,-0.047893,3,-60.5,5.8859,922.25,3,M,d2,p22
310.0,1.1397,-0.17454,-0.047893,3,-61.0,0.66728,925.25,3,M,d2,p22
310.5,1.1397,-0.17454,-0.047893,3,-60.0,5.4288,922.75,3,M,d2,p22
311.25,1.1749,-0.15158,-0.03649,3,-61.5,0.21322,925.75,3,M,d2,p22
312.0,1.2452,-0.19751,-0.0022806,3,-61.0,0.85596,920.25,3,M,d2,p22
312.25,1.2452,-0.19751,-0.0022806,3,-60.5,5.8613,922.25,3,M,d2,p22
312.5,1.2452,-0.19751,-0.0022806,2,-58.5,6.05,925.25,3,M,d2,p22
312.75,1.2452,-0.19751,-0.0022806,3,-60.0,2.0555,923.25,3,M,d2,p22
313.0,1.2452,-0.19751,-0.0022806,3,-60.5,1.063,924.75,3,M,d2,p22
313.75,1.1749,-0.17454,-0.047893,3,-61.0,0.28992,925.75,3,M,d2,p22
314.25,1.1749,-0.17454,-0.047893,3,-60.5,0.15033,921.25,3,M,d2,p22
314.75,1.1514,-0.15158,-0.047893,3,-60.0,5.7125,922.25,3,M,d2,p22
315.0,1.1514,-0.15158,-0.047893,3,-61.0,0.5507,925.25,3,M,d2,p22
315.25,1.1514,-0.15158,-0.047893,3,-60.0,2.2089,922.75,3,M,d2,p22
315.75,1.1514,-0.15158,-0.047893,3,-60.5,6.0285,921.75,3,M,d2,p22
316.0,1.1514,-0.15158,-0.047893,3,-60.5,1.2487,924.25,3,M,d2,p22
316.5,1.1866,-0.17454,-0.03649,3,-60.5,0.20095,921.25,3,M,d2,p22
316.75,1.1866,-0.17454,-0.03649,3,-61.0,0.90505,920.25,3,M,d2,p22
317.0,1.1866,-0.17454,-0.03649,3,-60.0,5.8383,922.25,3,M,d2,p22
317.25,1.1866,-0.17454,-0.03649,3,-60.5,0.65501,925.25,3,M,d2,p22
318.0,1.1749,-0.17454,-0.047893,3,-60.5,0.948,924.75,3,M,d2,p22
318.25,1.1749,-0.17454,-0.047893,3,-60.5,1.2609,924.25,3,M,d2,p22
319.5,1.2101,-0.16306,-0.025087,3,-60.5,1.5693,923.75,3,M,d2,p22
319.75,1.2101,-0.16306,-0.025087,3,-61.0,0.5599,925.25,3,M,d2,p22
320.0,1.2101,-0.16306,-0.025087,3,-60.5,5.0575,923.25,3,M,d2,p22
320.25,1.2101,-0.16306,-0.025087,3,-60.0,2.3194,922.75,3,M,d2,p22
320.5,1.2101,-0.16306,-0.025087,3,-60.5,6.1528,921.75,3,M,d2,p22
321.25,1.128,-0.14009,-0.059296,3,-60.5,0.10278,921.25,3,M,d2,p22
321.75,1.0694,-0.082679,-0.093505,3,-60.5,4.6832,923.75,3,M,d2,p22
322.25,1.0694,-0.082679,-0.093505,3,-61.0,0.52155,925.25,3,M,d2,p22
322.5,1.0694,-0.082679,-0.093505,3,-60.0,1.8607,923.25,3,M,d2,p22
323.25,1.1397,-0.11713,-0.070699,3,-60.5,1.3284,924.25,3,M,d2,p22
323.75,1.1397,-0.11713,-0.070699,3,-61.0,0.49394,920.75,3,M,d2,p22
324.25,1.1866,-0.17454,-0.059296,3,-60.5,4.7139,923.75,3,M,d2,p22
324.5,1.1866,-0.17454,-0.059296,3,-60.5,5.6895,922.25,3,M,d2,p22
324.75,1.1866,-0.17454,-0.059296,3,-60.5,1.8807,923.25,3,M,d2,p22
325.0,1.1866,-0.17454,-0.059296,3,-60.5,2.169,922.75,3,M,d2,p22
325.5,1.1866,-0.17454,-0.059296,3,-61.0,0.87744,924.75,3,M,d2,p22
326.0,1.1045,-0.11713,-0.082102,3,-61.0,0.43565,920.75,3,M,d2,p22
